Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
04020010;Talco secante;;;;Simple;No usa
04020011;Secuestrante;;;;Simple;No usa
04020012;Cobrefarms;;;;Simple;No usa
04020013;Super lechón;;;;Simple;No usa
04020014;Saborizante;;;;Simple;No usa
04020015;Fase 0;;;;Simple;No usa
04020016;Inactivador de Micotoxinas;;;;Simple;No usa
04020017;Desarrollo Cachorra;;;;Simple;No usa
04020018;Aditivo p/ lactancia;;;;Simple;No usa
04020019;Complejo Enzimático ;;;;Simple;No usa
04020020;Inactivador de Micotoxinas Fumo;;;;Simple;No usa
05010001;Nafta Producción;;;;Simple;No usa
05010002;Gasoil Producción;;;;Simple;No usa
05010003;Gas propano producción;;;;Simple;No usa
05010004;Gas envasado;;;;Simple;No usa
05010005;Leña producción;;;;Simple;No usa
05010006;No grav comb producción;;;;Simple;No usa
05010007;Impuesto al Co2 productivo;;;;Simple;No usa
05020001;Nafta comercialización;;;;Simple;No usa
05020002;Gasoil comercialización;;;;Simple;No usa
05020003;No Grav Comb Comercialización;;;;Simple;No usa
05030001;Nafta operativa;;;;Simple;No usa
05030002;Gasoil operativo;;;;Simple;No usa
05030003;No grav comb operativos;;;;Simple;No usa
05030004;Impuesto al Co2 operativo;;;;Simple;No usa
06010001;Flete a Frig La Pompeya;;;;Simple;No usa
06010002;Flete a Frig Cdllsa;;;;Simple;No usa
06010003;Flete a La Piamontesa A Giacos;;;;Simple;No usa
06010004;Flete a Frig Amancay;;;;Simple;No usa
06010005;Flete a Frig Neida Srl;;;;Simple;No usa
06010006;Movimiento interno de granja;;;;Simple;No usa
06010007;Retorno flete;;;;Simple;No usa
06010008;Lavado en Frigorífico;;;;Simple;No usa
06010009;Flete Chepes - Ulapes ;;;;Simple;No usa
06010010;Flete Ulapes - FCDLL ;;;;Simple;No usa
06010011;Flete a Frig Cerdos Andes;;;;Simple;No usa
06010012;Flete a Frig Rafaela Alimentos;;;;Simple;No usa
06010013;Flete a Frig El Meridiano;;;;Simple;No usa
06010014;Gastos de Flete Animales vivos;;;;Simple;No usa
06010015;Flete a Frig Catamarca ;;;;Simple;No usa
06010016;Flete a Frig La Piara ;;;;Simple;No usa
06010017;Flete a Frig Carnes Vireyes;;;;Simple;No usa
06010018;Flete a Frig Los Juncos ;;;;Simple;No usa
06010019;Flete a Frig Gonzalez Hermanos;;;;Simple;No usa
06010020;Flete a Frigorifico Paladini;;;;Simple;No usa
06010021;Gastos Flete Animales Vivos NG;;;;Simple;No usa
06010022;Flete a Magros Porcinos ;;;;Simple;No usa
06010023;Flete a Tucumán;;;;Simple;No usa
06010024;Flete a Frig Caucete-Gambeta ;;;;Simple;No usa
06020001;Transporte de Media Res LR;;;;Simple;No usa
06030001;Transporte de Cortes LR;;;;Simple;No usa
06040001;Flete Maíz;;;;Simple;No usa
06040002;Flete Expeller;;;;Simple;No usa
06040003;Flete Pellet de Alfa;;;;Simple;No usa
06040004;Flete Azúcar;;;;Simple;No usa
06040005;Flete Aceite de Soja;;;;Simple;No usa
06040006;Flete de soja;;;;Simple;No usa
06040007;Flete Trigo;;;;Simple;No usa
06050001;Transporte de art e insumos;;;;Simple;No usa
06050002;No grav transp. de art e ins.;;;;Simple;No usa
06050003;Transporte marítimo art e ins.;;;;Simple;No usa
06050004;Trans. marítimo No Grav;;;;Simple;No usa
07010001;Viandas;;;;Simple;No usa
07010002;Capacitaciones;;;;Simple;No usa
07010003;Exámenes preocupacionales;;;;Simple;No usa
07010004;Bidón x 20L Agua mineral;;;;Simple;No usa
07010005;Servicio de dispenser agua;;;;Simple;No usa
07010006;Programa de bienestar;;;;Simple;No usa
07010007;Suscripción Editorial Errepar;;;;Simple;No usa
07010008;Agasajo al personal;;;;Simple;No usa
